2026-05-10,Arreglo reloj,Arreglo reloj,Arreglo reloj,0,2000,2000
2026-05-10,Display A21s,,Displya A21s,90000,120000,30000
2026-05-10,Display A21s,,Displya A21s,90000,120000,30000
2026-05-10,displat,displat,displat,2000,90000,88000

2026-05-13,Levanto de red,Levanto de red,Levanto de red,2500,5000,2500
2026-05-14,SamsuNG Galaxi A50,,Samsung Galaxi A50,40000,50000,10000
2026-05-14,SamsuNG Galaxi A50,,Samsung Galaxi A50,40000,50000,10000
2026-05-14,Redmi Note 13c,,Redmi Note 13c,70000,90000,20000
2026-05-14,1,1,display redmi note 10s,80000,110000,30000
2026-05-15,Samsung A16,,Sansung A16,60000,80000,20000
2026-05-16,1,1,abono display,80000,50000,-30000
2026-05-17,Redmi Note  10,,Redmi Note 10,70000,90000,20000
2026-05-18,VIRUS,VIRUS,VIRUS,0,20000,20000
2026-05-18,DESBLOQUEO MOTO G ONE,DESBLOQUEO MOTO G ONE,DESBLOQUEO MOTO G ONE,0,40000,40000
2026-05-18,RECARGA,RECARGA,RECARGA,9000,9500,500
2026-05-18,Pipa ,Pipa ,Pipa,3000,5000,2000
2026-05-19,motorola g stylus,,motorola g stylus,80000,100000,20000
2026-05-19,Netflix + CrunchyRoll + Spotify,Netflix + CrunchyRoll + Spotify,Netflix + CrunchyRoll + Spotify,41000,41000,0
2026-05-21,arrego,,arreglo,2000,4000,2000
2026-05-21,arreglo,,arreglo,10000,10500,500
2026-05-22,Redmi con fallo,Redmi con fallo,Redmi con fallo,2000,5000,3000
2026-05-23,1,1,Soplete,2000,4000,2000
2026-05-23,Recarga,Recarga,Recarga,5000,5500,500
2026-05-23,Recarga,,recarga,5000,5500,500
2026-05-23,1,1,arreglo desbloqueo abono,0,100000,100000
2026-05-24,1,1,protector de cuero para celular,12000,25000,13000
2026-05-26,moto g20,,moto g20,40000,50000,10000
2026-05-27,samsung s10,,samsung s10,20000,40000,20000
2026-05-27,arreglo sonido,arreglo sonido,arreglo sonido,5000,10000,5000
2026-05-28,redmi ,redmi,redmi,15000,20000,5000
